Features;Accuracy_RF;Accuracy_NN;Accuracy_SVM
Kurtosis;0.8780487804878049;0.8475609756097561;0.8841463414634146
Skewness;0.8841463414634146;0.8597560975609756;0.8780487804878049
Dissimilarity;0.8902439024390244;0.8597560975609756;0.8780487804878049
Correlation;0.8841463414634146;0.8536585365853658;0.8780487804878049
Homogeneity;0.8902439024390244;0.8597560975609756;0.8841463414634146
Energy;0.8719512195121951;0.8475609756097561;0.8841463414634146
Contrast;0.8780487804878049;0.8414634146341463;0.8780487804878049
ASM;0.8841463414634146;0.8719512195121951;0.8841463414634146
ColorH;0.8841463414634146;0.8048780487804879;0.8780487804878049
ColorS;0.8719512195121951;0.8170731707317073;0.8719512195121951
ColorV;0.8902439024390244;0.8658536585365854;0.8719512195121951
All Features;0.8780487804878049;0.8048780487804879;0.8780487804878049
